image_path,label,name,brand,notes,image_url
perfume_images\qp4ldro2lbz85eh6s05wnata68fizxuj2xen03g4xs5ugg2t2p8dim6y12o8-w500-q85.jpg,Floral,Sea Mimosa,Gas Bijoux,"Mimosa, Musk, Bergamot",
perfume_images\01835_Homme_Eau_de_Parfum.jpg,Spicy,Homme Eau de Parfum,Costume National,"Grapefruit, cardamom, bergamot, cinnamon, thyme, cloves, patchouli, sandalwood, labdanum",https://static.luckyscent.com/images/products/25808.jpg?width=400&404=product.png
perfume_images\7nmzchnkgxuulzzeqphrj9tgq7jmc0ceeyxua7k5rnht1g25081sj7xp0f3r-w500-q85.jpg,Woody,Acqua Di Portofino Uomo,Acqua Di Portofino,"Vetiver, Sandalwood, Jasmine, Magnolia, Nutmeg, Pepper, Grapefruit, Lavender, Musk, Star Anise, Blackcurrant Bud",
perfume_images\lzulo37tqbay6fgs37jzni081dfpdybvxulhe9z8lkcvjd3y1eqvxosn0u2k-w500-q85.jpg,Floral,Oriental Rose,Vertus,"Rose, Heliotrope, Iris / Orris, Lavender, Vetiver, Violet, Clove, Guaiac Wood, Patchouli, Amber, Cardamom, Cedarwood, Incense / Olibanum, Lemon, Musk, Saffron, Sandalwood, Vanilla",
perfume_images\w5nh9ae5cwitphgi2whn5luqpu3tkq3c6hap8xt4zdr6zx4e53zqk6tyh7ee-w500-q85.jpg,Floral,Sensual Orchid My Paradise,Armand Basi,"Orchid, Musk, Heliotrope, Jasmine, Lily Of The Valley, Violet, Apple, Citruses",
perfume_images\rzze74vxjicdh6v12v0mpbqtqevbngm49ycnf9i7myfltopsajnl489qoe9c-w500-q85.jpg,Floral,Peace & Love Attitude,Avon,"Orange Blossom, Bergamot, Musk, Freesia, Blackberry",
perfume_images\w9nmrmsqgcqumxjg0chbnxywnx2l2j3y54o0vqm21q328zzrbg0bzhd0wdzx-w500-q85.jpg,Woody,Guess Seductive Homme Blue,Guess,"Geranium, Caviar Lime (Finger), Cashmeran (Woody musky), Amber, Cardamom, Musk, Black Pepper",
perfume_images\oymqyekapohmrz9wpzt3xfgn55prssu7bd29nta86cx4lofex7mmc595im3w-w500-q85.jpg,Woody,Amber Sapphire,Boadicea The Victorious,"Oud / Agarwood, Bergamot, Rose, Cashmeran (Woody musky), Cedarwood, Tonka Bean, Vanilla, Cinnamon, Magnolia, Lentisk, Rum, Blackcurrant Bud, Jasmine (India)",
perfume_images\6y28tfhr4s9tsbyi3326gtjf2rcdw7qmbb7z040z3eag7evkvy8m829odtw1-w500-q85.jpg,Floral,Délicat Nymphéa/Delicate Water Lily Edt,Durance,"Apple, Musk, Jasmine, Rose, Violet, Grapefruit",
perfume_images\gy3f7pvtfopvjhb36l17r4o8ya1r7lcajojvywew4kcodlq0usif0cbbdqko-w500-q85.jpg,Woody,Richwood,Xerjoff,"Sandalwood (Mysore), Bergamot, Geranium, Grapefruit, Mandarin, Amber, Ciste Labdanum, Coumarin (Tonka Bean note), Musk, Patchouli, Rose, Vanilla, Blackcurrant Bud",
perfume_images\j7d7krr3x9isszitl3c88hhy0uk2vc6nmzre4a05j6rl5tvfb4eymw67gs52-w500-q85.jpg,Floral,Absolute Amethyst,Thalia Sodi,"Tonka Bean, Vanilla, Coriander",
perfume_images\ffrnu2c7sh8slj9wz8h87x22i0oh6whkgpom3jealhfihp6gese4wbwrcnwu-w500-q85.jpg,Spicy,Spicydelice,J.U.S,"Ciste Labdanum, Cinnamon, Muscenone (Musk), Coumarin (Tonka Bean note), Elemi, Incense / Olibanum, Tonka Bean, Vanilla (Bourbon), Vanillin (Vanilla note), Cardamom, Clove, Nutmeg, Black Pepper, Ginger (Madagascar), Bergamot, Cashmeran (Woody musky), Cypriol / Nagarmota, Hedione (light Jasmine), Iso E Super (Cedarwood Note), Maltol (Praline), Mandarin, Patchouli, Sandalwood, Violet, Cedarwood (Virginia), Vetiver (Bourbon), Linalool (Floral Note)",
perfume_images\knf8qs1uvrtpcja4ge459chtkxq6r0medghwdah64h69y04r784sorri4a20-w500-q85.jpg,Floral,Trésor L'Eau De Parfum Lumineuse,Lancôme,"Rose (Turkey), Violet, Violet Leaves, Vanilla, Praline, Amber, Bergamot, Cashmeran (Woody musky), Galbanum, Leather, Mandarin, Musk, Pear, Sandalwood, Strawberry",
perfume_images\61dla90rjco0fab21vjn187w20t24f7ms92jxs58kvzipvo82o64qqfr3c1i-w500-q85.jpg,Floral,Her Code,O Boticário,"Jasmine, Blackberry, Sandalwood, Tuberose, Amber, Cherry, Peach, Blackcurrant Bud, Gourmand Accord",
perfume_images\0pq0jnvpq7o8w6bhweakahi0i770pli2iramnmumnzkfn3vay3otlbk84nvo-w500-q85.jpg,Woody,Ur±Silk,Uermi,"Cedarwood, Neroli, Iris / Orris, Fig, Grapefruit, Musk, Tangerine",
perfume_images\0vx0tw81j57qlrbs26301nhupbnc62v07jb78v8y4svbu94zs9l7qxi90kg0-w500-q85.jpg,Fresh,Sculpture Homme Parfum,Nikos,"Lavender, Bergamot, Geranium, Tonka Bean, Orange Blossom, Amber, Coriander, Lily Of The Valley, Vanilla (Bourbon)",
perfume_images\ghe3i6z2vvnzfp2dapny8jzed5uoca3qmsjq8fpn2pfeccvu29obpdzb31fd-w500-q85.jpg,Woody,Versus Blue Jeans,Versace,"Cedarwood, Vetiver, Citruses, Sandalwood, Amber, Vanilla, Bergamot, Galbanum, Geranium, Iris / Orris, Jasmine, Juniper Berries, Lavender, Musk, Nutmeg, Rose, Violet",
perfume_images\30a1awfiz4h2rticb8xl7rxihtjsebwxb690hh04zxpc2lm8lu1gxqcbs07v-w500-q85.jpg,Sweet,Intoxicated,Kilian,"Caramel, Coffee (Turkish), Cinnamon, Cardamom, Nutmeg",
perfume_images\00097_Poudrextase_Eau_de_Parfum.jpg,Floral,Poudrextase Eau de Parfum,Marlou,"Rice powder, dried rose, cypress, civet, musks",https://static.luckyscent.com/images/products/76302.jpg?width=400&404=product.png
perfume_images\9f0m7yps2oqtwa1dbp74p0ueqd2adrbzamyd3fgcno8tr0lgipqa5afay94s-w500-q85.jpg,Woody,Imari Seduction,Avon,"Patchouli, Orchid, Vanilla, Plum, Amber, Musk, Rose, Sandalwood",
perfume_images\yw06ttkimrn7hxrzjls41wu6kowd3pv5fnkm5hy3snr92fosup1dkbspyue3-w500-q85.jpg,Fresh,Leyenda,Ésika,"Amber, Cardamom, Tonka Bean, Geranium, Lavender, Apple, Bergamot, Cashmeran (Woody musky), Cedarwood, Grapefruit, Mandarin, Musk, Nutmeg, Patchouli, Sandalwood, Vanilla",
perfume_images\3uyf88wxlwvd3w61i3zhaarf2oxswgshhad4ks0ewlrh7os6buxidect9ycq-w500-q85.jpg,Floral,Sky Di Gioia,Giorgio Armani,"Rose Centifolia, Lychee, Musk, Peony, Pear, Cedarwood, Blackcurrant Bud, Helvetolide (Musk), Transluzone (Marine)",
perfume_images\ta6su07tauas1njo6yayysivk31jdmispm1jj47ozo7q7km1iso5k8bhmptr-w500-q85.jpg,Citrus,So Satin,Uermi,"Ginger, Pepper, Bergamot, Mandarin, Patchouli, Artemisia, Musk, Vetiver",
perfume_images\427txzkshv7kzmu8n7it6vsmyd0axkn5vb86u7vxpbif4h11trt2getdjswr-w500-q85.jpg,Fresh,F By Ferragamo Pour Homme Free Time,Salvatore Ferragamo,"Cedarwood, Ginger, Pink Pepper, Cardamom, Lemon, Musk, Vetiver, Sea Breeze",
perfume_images\k3rix8j1ouidlfb32jmdrq22s4ooi2y87emz73pvq8ehue7tq9xh0na4v8et-w500-q85.jpg,Floral,Nº 5 Parfum,Chanel,"Jasmine, Ylang-ylang, Vetiver, Rose Centifolia, Aldehyde, Neroli, Sandalwood",
