image_path,label,name,brand,description,image_url
perfume_images/00422_Spicematic_Eau_de_Parfum.jpg,Spicy,Spicematic Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale","The joy of Pierre Guillaume's ""flanker"" scents is that they're anything but retreads of their original inspiration- instead they have the iterative energy of a maestro composing variations on a theme, using the constraints of a single concept to focus his energy on the serendipitous. In Spicematic 11.2, Guillaume revisits the ""aromatic-spice"" nexus that gave us the desert lemon mint and allspice of Harmatan Noir and the sub-tropical peppermint and cardamom of Indian Wood, but here, our inspiration is the cold, mineralic beauty of marble, represented in saffron, fresh ginger, and green mint. With a molecular distillation of incense adding an intense coolness, the fragrance shines and sparkles, tempered only by the organic vibration of red cedar and the resinous heat of Siberian pine. Pierre Guillaume describes Spicematic as ""marble water."" Who are we to disagree?",https://static.luckyscent.com/images/products/34557.jpg?width=400&404=product.png
perfume_images/00215_Monsieur_Eau_de_Parfum.jpg,Woody,Monsieur Eau de Parfum,Pierre Guillaume Paris Black Collection,"Monsieur is inspired by the exploration of a forest, where torrents and waterfalls from Auvergne's mountains carry along scents of moss, bark, wood, earth, and stone.  A harmonious blend of eight woody notes entwined with crushed leaves splashed by the mineral freshness of water spurting out of the rock.  Monsieur is a powerful, complex, and vibrant scent permeated with an organic sensuality.  It is both dry and green, mixing elements of grass, earth, crisp air currents, and damp stones.  Vetiver lovers will savor the soil-caked purity of the scent and wood aficionados will appreciate the elegant blend of poplar, cedar, and sandalwood - a true harmony of the forest in a fragrance.",https://static.luckyscent.com/images/products/54513.jpg?width=400&404=product.png
perfume_images/00382_Golden_Dallah_Eau_de_Parfum.jpg,Amber_Oriental,Golden Dallah Eau de Parfum,Xerjoff,"In these complicated times, nothing cuts through the stress of life and replenishes the spirit quite like a coffee break. That's the beauty of Xerjoff's Coffee Break collection, inspired by the intriguing and centuries-long history of the international coffee trade. By combining the complex and invigorating essence of fresh ground coffee with the rich gourmand depths of hazelnut, cocoa, and tonka, all wrapped around a complex heart of exquisite rose and Cambodian oud, Golden Dallah proves itself immediately to be one of the most beguiling coffee scents we've ever got our hands on. A multifaceted bouquet of exotic spices feels both vibrant and seductively smooth, stimulating our souls and making our mouths water all at once. One part dark and mysterious, one part delicious and uplifting, Golden Dallah is the moment of escape we can all use right now.",https://static.luckyscent.com/images/products/511053.jpg?width=400&404=product.png
perfume_images/00915_Be_Careful_What_You_Wish_For_Parfum_Extrait.jpg,Woody,Be Careful What You Wish For Parfum Extrait,4160 Tuesdays,"An oud scent from 4160 Tuesdays? We didn't think it would ever happen, mostly because Sarah herself said it probably wouldn't. After all, with so many companies shoving one oud after another out to market, doing an oud just to do it wouldn't really seem to be on-brand for a perfumer who is forging a wonderful career out of following her own inspirations. But a fateful trip to Dubai left Sarah with some truly exquisite specimens of agarwood extract and, for the first time, she felt the call. So, how to make an oud scent that's also, first and foremost, a 4160 Tuesdays scent? One sniff and the answer is clear. Be Careful What You Wish for is by far the juiciest, fruitiest, most delectably fresh oud we've ever smelled. Energized with tantalizingly tart citrus and shot through with sweet peach, this scent still manages to be as deep, woody and captivating as you could hope for. Five types of real oud will do that, but the balance against the fruit strikes a joyous major chord, while the typical funk of decaying wood is replaced with a grand richness that lasts for untold hours. As tongue-in-cheek as the name may be, if you were wishing for an oud scent that breaks free of convention and exudes real, authentic happiness, 4160 Tuesdays is here to deliver.",https://static.luckyscent.com/images/products/64624.jpg?width=400&404=product.png
perfume_images/01121_Wasanbon_Eau_de_Parfum.jpg,Sweet,Wasanbon Eau de Parfum,Parfum Satori,"Wasanbon is an intricate puzzle veiled in beguiling charm. Evoking Japanese tea-time, Wasanbon is a type of fine Japanese sugar hand-purified in multiple stages, used to make the highest class of delicate sugar candy. Perfumer Satori Osawa was tickled by its homonym in French,Wa sent bon meaningWa smells good  Wa being the Japanese word for social harmony. Unlike the typical scent imagined from the concept of Wa, Wasanbon is mischievous, gliding into any situation with its sparkling confectionary charm, but slowly revealing the elegant, refined heart within. A tart, tangy lemon opens the fragrance, immediately uplifting, giddy on clouds. Not only is it sprinkled with crystalline sugar, but rounded out with juicy muscat grape, tart and sweet. These immediate fruits give way to a most delicate, pillowy mÃ©lange of lightly honeyed mimosa flower, lily-of-the-valley, and the body of the fragrance, an exquisite wasanbon sugar, finely purified and crushed, sieved into the finest powder. A dusting of almond and vanilla only add to the heavenly delight of the senses. As the candy dissolves away, Wasanbon remains light and airy, lifted with an exquisite iris and soft, velvety guaiacwood. What could be more charming?",https://static.luckyscent.com/images/products/76803.jpg?width=400&404=product.png
perfume_images/00183_Asphalt_Rainbow_Scratch_Sniff_Sticker_Set.jpg,Floral,Asphalt Rainbow Scratch & Sniff Sticker Set,Charenton Macerations,"Limited Edition Asphalt Rainbow Scratch & Sniff Stickers.Asphalt Rainbow draws inspiration from the ""break the rules"" attitude of global street art: a creative world movement that teaches anything can be a canvas and anyone an artist. Specifically exploring the concepts of distortion, reappropriation, and impermanence, Asphalt Rainbow borrows from a series of masterful street art techniques to craft an olfactive love letter to the street: a roughed up rose that's been hyper-colored, torn apart and twisted on its head, then nailed to the wall for your sniffing pleasure. The arc of the fragrance mirrors the unpredictable lifecycle of street art: a re-envisioned rose accord that distorts and morphs over time like a fragmented floral collage stretched across urban walls and alleyways; its aerosol-tinged aroma ever-fading closer to background.",https://static.luckyscent.com/images/products/67302.jpg?width=400&404=product.png
perfume_images/01383_Meliora_Eau_de_Parfum.jpg,Floral,Meliora Eau de Parfum,Parfums de Marly,"Mother of the famous stallion Tartar, the brood mare Meliora gets her own tribute in this ravishingly mouthwatering, stunningly natural-feeling fruity floral from Parfums de Marly. Meliora opens with a delightful burst of fruits, blackcurrant, raspberry and a red fruits accord, juicy-sweet but not at all artificial or cloying. In the heart, luscious rose blends with sweet ylang and green lily for a fresh, natural feminine core, while a woody, musky vanilla base lingers in the air for hours to come. Gorgeous, restrained and full of life, Meliora is a fragrance worthy of its name.",https://static.luckyscent.com/images/products/70012.jpg?width=400&404=product.png
perfume_images/01652_Aurore_Nomade_Eau_de_Parfum.jpg,Spicy,Aurore Nomade Eau de Parfum,The Different Company,"Bertrand Duchaufour's third composition for The Different Company's Collection Excessive started out with what he dubs aSinbad accord: star fruit on a tree in the sun, with apricot-y freesia accents and a touch of juicy, melon-y green...  Topped off with a flash of aged rum, thisNomadic Dawn could well be the name of a tropical cocktail sipped in a banana grove  thebanana flower accord conjured with ylang-ylang  while plumerias waft in the distance...The burn of the rum and spices, bolstered with davana and immortelle, creates a sharp contrast with the thirst-quenching coolness of the fruity-aquatic notes. But this is no chichi, fancy-resort drink: picture Robert Mitchum handing it to Jane Russell in a sarong with a deep-pitched growl. Tough yet sophisticated tropicalia, and pretty much the next best thing to living it up on a Pacific Island.",https://static.luckyscent.com/images/products/25326.jpg?width=400&404=product.png
perfume_images/01483_Kiss_Me_Intense_Eau_de_Parfum.jpg,Sweet,Kiss Me Intense Eau de Parfum,PARFUMS DE NICOLAI,"A love story for this subtle heliotrope. A soft veil for a distinguished and opulent orange flower, ylang absolute, bitter almond and drops of anise which give this fragrance a sensual and smooth vibration. Heliotrope is the most enchanting of perfumes, both intense, sweet and mysterious. It is one of those flowers whose essence cannot be extracted. Like lily of the valley, lilac, violet or gardenia, it retains its perfume jealously and gives it up only to those who go near. And in the right conditions (the time of day, rate of humidity, temperature, stage of flowering, etc), you will discover a scent that takes you from vanilla to aniseed, via almonds and freshly-cut hay: truly an olfactory journey.",https://static.luckyscent.com/images/products/31350.jpg?width=400&404=product.png
perfume_images/00122_Muskara_Phero_J_Eau_de_Parfum.jpg,Amber_Oriental,Muskara Phero J Eau de Parfum,Fueguia 1833,"An embodiment of the well-kept secret of desire. An elixir that connects the contemporary concept of a fragrance with ancient instincts and ancestry. Soft as skin and thrillingly sensual, Muskara Phero J uses a unique blend of plants from the Amazon region and distilled fragrant molecules to create an olfactory mask, ananti-perfume with a possessing ability to interact with the natural smell of the wearer. Ideal for adding a deeply sexy layer of musk to any other scent from the Fueguia collection and beyond, it's also a diabolical secret weapon worn all on its own- a seductive second skin you wouldn't notice until you were firmly in its clutches.",https://static.luckyscent.com/images/products/62133.jpg?width=400&404=product.png
