image_path,label,name,brand,notes,image_url
perfume_images\00000_Tihota_Eau_de_Parfum.jpg,Floral,Tihota Eau de Parfum,Indult,"Vanilla bean, musks",https://static.luckyscent.com/images/products/37401.jpg?width=400&404=product.png
perfume_images\00001_Sola_Parfum.jpg,Floral,Sola Parfum,Di Ser,"Lavender, Yuzu, Lemongrass, Magnolia, Geranium, Jasmine, Frankincense, Myrrh",https://static.luckyscent.com/images/products/788011.jpg?width=400&404=product.png
perfume_images\00002_Kagiroi_Parfum.jpg,Woody,Kagiroi Parfum,Di Ser,"Green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood",https://static.luckyscent.com/images/products/788012.jpg?width=400&404=product.png
perfume_images\00003_Velvet_Fantasy_Eau_de_Parfum.jpg,Floral,Velvet Fantasy Eau de Parfum,Montale,"tangerine,  pink pepper,  black coffee,  leather,  violet,  jasmine,  lily of the valley,  heliotrope powder,  vanilla,  amber, sandalwood,  toffee,  musk,  oakmoss",https://static.luckyscent.com/images/products/354013.jpg?width=400&404=product.png
perfume_images\00004_A_Blvd_Called_Sunset_Eau_de_Parfum.jpg,Floral,A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,"Bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka",https://static.luckyscent.com/images/products/56719.jpg?width=400&404=product.png
perfume_images\00005_Freckled_and_Beautiful_Eau_de_Parfum.jpg,Fresh,Freckled and Beautiful Eau de Parfum,A Lab on Fire,"Orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope",https://static.luckyscent.com/images/products/56720.jpg?width=400&404=product.png
perfume_images\00006_Exit_the_King_Eau_de_Parfum.jpg,Floral,Exit the King Eau de Parfum,Etat Libre d'Orange,"Timur JE, Soap Foam Accord (Aldehydes & Musk), Pink Pepper, Jasmine e-pure, Rose Superessence, Lily-of-the-valley Accord, Patchouli, Moss Absolute, Sandalwood Accord & Orcanox",https://static.luckyscent.com/images/products/477053.jpg?width=400&404=product.png
perfume_images\00007_Eshu_Extrait.jpg,Woody,Eshu Extrait,PRIN,"Tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, atlas cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash",https://static.luckyscent.com/images/products/847005.jpg?width=400&404=product.png
perfume_images\00008_Saringkarn_Extrait.jpg,Amber,Saringkarn Extrait,PRIN,"Saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang ylang",https://static.luckyscent.com/images/products/847006.jpg?width=400&404=product.png
perfume_images\00009_Arsalan_Parfum.jpg,Woody,Arsalan Parfum,PRIN,"Cambodian oud, Trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk",https://static.luckyscent.com/images/products/847007.jpg?width=400&404=product.png
perfume_images\00010_Nocturnal_Poetry_Parfum.jpg,Amber,Nocturnal Poetry Parfum,PRIN,"Violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin",https://static.luckyscent.com/images/products/847008.jpg?width=400&404=product.png
